,k,l,flip and rotation,brightness
649,2,5,0,29.865234375000277
650,3,5,0,9.204101562500174
651,5,4,0,-3.3032226562498437
652,3,5,0,0.3603515625001492
653,1,4,0,-11.449218750000242
654,1,4,0,-17.26171875000024
655,2,5,0,35.43554687500024
656,4,5,0,9.610351562499876
657,2,4,0,11.9189453125
658,4,4,0,9.513183593749936
659,2,4,0,35.7236328125
660,0,0,0,7.1123046875001315
661,0,0,0,10.877929687500131
662,2,3,0,21.40966796875
663,1,3,0,5.208984375
664,2,5,0,42.08398437500026
665,2,5,0,21.05273437500022
666,1,3,0,-24.673828125
667,0,0,0,7.752929687500092
668,1,3,0,-12.455078125
669,1,4,0,-10.011718750000242
670,1,4,0,0.8007812499997584
671,2,5,0,192.59179687500028
672,5,0,0,-2.1630859374997478
673,2,4,0,35.6142578125
674,3,5,0,13.196289062500199
675,3,4,0,-17.2822265625
676,1,3,0,-3.119140625
677,1,3,0,3.701171875
678,1,0,0,-0.5517578125001439
679,4,4,0,13.349121093749911
680,3,4,0,8.1396484375
681,1,4,0,-20.16796875000026
682,5,4,0,-0.28759765624982947
683,0,3,0,-0.12255859374988631
684,2,4,0,22.9814453125
685,1,4,0,-25.66796875000024
686,2,5,0,89.04492187500026
687,2,5,0,345.5292968750001
688,5,0,0,-3.0771484374997424
689,1,4,0,-34.003906250000256
690,4,4,0,-19.76025390625009
691,3,4,0,-4.3994140625
692,2,5,0,54.84179687500026
693,5,1,0,7.952148437500066
694,2,1,0,17.602539062500124
695,5,2,0,-12.625488281249858
696,1,3,0,12.373046875
697,2,4,0,-1.0341796875
698,4,2,0,-2.3413085937498757
699,5,4,0,-0.045410156249836575
700,1,4,0,-8.261718750000242
701,1,4,0,-19.199218750000245
702,2,5,0,240.66992187500017
703,2,5,0,276.40429687500017
704,5,4,0,1.0170898437501883
705,2,4,0,34.9345703125
706,3,5,0,12.922851562500188
707,2,3,0,22.75341796875
708,2,5,0,71.93554687500026
709,3,5,0,-0.9443359374998295
710,4,2,0,-4.177246093749879
711,5,2,0,-14.094238281249858
712,3,4,0,-17.0634765625
713,2,5,0,95.05273437500026
714,2,4,0,20.6376953125
715,3,5,0,1.1650390625001776
716,2,4,0,-11.1748046875
717,1,3,0,4.654296875
718,2,5,0,140.89648437500028
719,0,3,0,-2.2553710937498685
720,1,3,0,13.162109375
721,2,4,0,26.6845703125
722,5,1,0,2.741210937500078
723,0,3,0,-0.7788085937498579
724,2,4,0,10.1298828125
725,3,4,0,-16.1806640625
726,4,5,0,-1.4755859375001235
727,0,0,0,11.229492187500142
728,1,3,0,-12.767578125
729,2,5,0,18.841796875000256
730,2,5,0,368.8496093750001
731,2,4,0,-6.9716796875
732,2,4,0,31.5205078125
733,2,5,0,5.93554687500027
734,3,4,0,4.3349609375
735,5,4,0,-0.24853515624980105
736,1,3,0,6.240234375
737,2,4,0,0.4736328125
738,5,1,0,10.09277343750008
739,1,5,0,-1.057128906250142
740,1,3,0,-9.720703125
741,0,0,0,10.5810546875001
742,1,0,0,-2.465820312500142
743,4,4,0,-14.775878906250085
744,2,3,0,24.22998046875
745,2,4,0,-8.1748046875
746,2,5,0,272.74804687500017
747,2,5,0,154.28710937500014
748,4,4,0,14.4741210937499
749,1,4,0,-25.566406250000266
750,0,5,0,-2.93017578125
751,5,4,0,-11.209472656249801
752,1,4,0,-34.574218750000185
753,2,4,0,6.2861328125
754,4,1,0,0.6845703124998579
755,4,4,0,-19.486816406250078
756,2,3,0,-7.00439453125
757,1,5,0,-0.3696289062501208
758,5,2,0,-2.961425781249858
759,4,4,0,6.7397460937499005
760,1,3,0,-8.166015625
761,1,3,0,5.177734375
762,2,5,0,100.20898437500024
763,2,5,0,328.0527343750001
764,3,5,0,19.5322265625002
765,3,5,0,6.485351562500188
766,0,0,0,11.057617187500142
767,0,0,0,0.6982421875001279
